"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
1776-2025,"03/01/2025 (UTC+01)","France – Insurance services – Marché de services d'assurances","COMITÉ DES AGES",Open,,"2024 LOT1",,LOT-0001,,"SHAM ""RELYENS""","5 442,87",,,EUR
1776-2025,"03/01/2025 (UTC+01)","France – Insurance services – Marché de services d'assurances","COMITÉ DES AGES",Open,,"2024 LOT 2",,LOT-0002,,"SHAM ""RELYENS""","619,85",,,EUR
1776-2025,"03/01/2025 (UTC+01)","France – Insurance services – Marché de services d'assurances","COMITÉ DES AGES",Open,,,,LOT-0003,,"Not Awarded",," "," ",
1776-2025,"03/01/2025 (UTC+01)","France – Insurance services – Marché de services d'assurances","COMITÉ DES AGES",Open,,"2024 LOT 4",,LOT-0004,,GROUPAMA,"20 707,11",,,EUR
1776-2025,"03/01/2025 (UTC+01)","France – Insurance services – Marché de services d'assurances","COMITÉ DES AGES",Open,,"2024 LOT 5",,LOT-0005,,"RELYENS SPS","38 376,39",,,EUR
1776-2025,"03/01/2025 (UTC+01)","France – Insurance services – Marché de services d'assurances","COMITÉ DES AGES",Open,,"2024 LOT 6",,LOT-0006,,"CYBER COVER","2 281,81",,,EUR
3747-2025,"03/01/2025 (UTC+01)","Serbia – Surveillance and security systems and devices – Supply of equipment for border management","European Union, represented by the European Commission on behalf of and for the account of Serbia",Open,,2024/460-538,,LOT-0003,,"GridX d.o.o.",," "," ",
3772-2025,"03/01/2025 (UTC+01)","Serbia – Surveillance and security systems and devices – Supply of equipment for border management","European Union, represented by the European Commission on behalf of and for the account of Serbia",Open,,,,LOT-0001,,"Not Awarded",," "," ",
5067-2025,"06/01/2025 (UTC+01)","Belgium, Luxembourg, France, Netherlands, Czechia, Germany, Spain – Office supplies – Fourniture d’articles de bureau et de la petite enfance, de papier à copier ainsi que de consommables informatiques et pour imprimerie.","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels, Cour des comptes, OMBUDSMAN - European Ombudsman, European Education and Culture Executive Agency (EACEA), European Research Executive Agency (REA), EURSC - European Schools, Eurojust, European Banking Authority, European Defence Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Space Programme, European Union Aviation Safety Agency, F4E - Fusion for Energy Joint Undertaking, Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee",Open,,"EC-OIB/2024/OP/0049/C0/L0",,LOT-0001,,"LYRECO BELGIUM SA",," "," ",
5953-2025,"07/01/2025 (UTC+01)","Luxembourg – Repair and maintenance services of building installations – Maintenance des installations électriques, de détection et d'extinction incendie.","Commission européenne, OIL - Office Infrastructures et Logistique à Luxembourg",Open,,EC-OIL/2024/OP/0006,,LOT-0001,,"SOCOM SA",," "," ",
6327-2025,"07/01/2025 (UTC+01)","Bangladesh – Research and development services and related consultancy services – Supporting the National Parliament to kick-start the Bangladesh Institute of Parliamentary Studies (BIPS) - Strengthening the Law-Making Process in the National Parliament","European Commission, INTPA - International Partnerships","Negotiated without prior call for competition",,"NDICI ASIA/2024/457-597",,LOT-0001,,"CENTRE FOR POLICY DIALOGUE",," "," ",
6952-2025,"07/01/2025 (UTC+01)","Belgium – IT services: consulting, software development, Internet and support – RecFishing: an electronic system for catch reporting of recreational fisheries","European Commission, DG MARE - Maritime Affairs and Fisheries",Open,,EC-MARE/2024/OP/0003,,LOT-0001,,"Halieuticom---BIZZDEV SA",," "," ",
8288-2025,"08/01/2025 (UTC+01)","Mongolia – Public relations consultancy services – Strategic Communication of EU Delegation to Mongolia","European Commission, INTPA - International Partnerships",Restricted,,"NDICI ASIA 2024/462-587",,LOT-0001,,"LANDELL MILLS INTERNATIONAL LIMITED",," "," ",
8589-2025,"08/01/2025 (UTC+01)","China – Research and development consultancy services – EU-China International Development Platform","European Commission, INTPA - International Partnerships",Restricted,,NDICIASIA/2024/461-199,,LOT-0001,,"GOPA WORLDWIDE CONSULTANTS GMBH",," "," ",
8764-2025,"08/01/2025 (UTC+01)","Belgium – Environmental services – Birds in the EU: Status and trends assessment, EU Red List 2026","European Commission, DG ENV - Environment",Open,,"090201/2024/928459/SER/ENV.D3",,LOT-0001,,"STICHTING BIRDLIFE EUROPE---BIRDLIFE INTERNATIONAL",," "," ",
9016-2025,"08/01/2025 (UTC+01)","Belgium – Accident and health insurance services – Provision of sickness and accident insurance services for Conference Interpreting Agents (ACIs)","European Commission, DG SCIC - Interpretation",Open,,EC-SCIC/2024/OP/0001,,LOT-0001,,"HENNER---MUTUELLE GENERALE DE l'EDUCATION NATIONALE",," "," ",
9351-2025,"08/01/2025 (UTC+01)","China – Research and development services and related consultancy services – EU-China Cooperation on Environment and Green Economy","European Commission, INTPA - International Partnerships",Restricted,,"NDICI ASIA/2024/462-283",,LOT-0001,,"DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH---STIFTELSEN THE STOCKHOLM ENVIRONMENT INSTITUTE",," "," ",
