country,council_config,minister_name,minister_party,ministry,notes
# PRIORITY 6 - Council configuration mapping
# Start with Tier 1 countries (DE, FR, IT, ES, PL)
# Council Configurations: GAC, ECOFIN, Competitiveness, Environment, Agriculture, TTE, JHA, EPSCO, EYCS, FAC
#
# --- GERMANY ---
Germany,GAC,Annalena Baerbock,Gruene,Foreign Office,Also FAC
Germany,FAC,Annalena Baerbock,Gruene,Foreign Office,
Germany,ECOFIN,Christian Lindner,FDP,Finance,
Germany,Competitiveness,Robert Habeck,Gruene,Economy and Climate,
Germany,Environment,Steffi Lemke,Gruene,Environment,
Germany,Agriculture,Cem Ozdemir,Gruene,Agriculture,
Germany,TTE,Volker Wissing,FDP,Transport and Digital,
Germany,JHA,Nancy Faeser,SPD,Interior,
Germany,EPSCO,Hubertus Heil,SPD,Labour and Social Affairs,
Germany,EYCS,Bettina Stark-Watzinger,FDP,Education and Research,
#
# --- FRANCE ---
France,GAC,Stephane Sejourne,RE,Foreign Affairs,Also FAC
France,FAC,Stephane Sejourne,RE,Foreign Affairs,
France,ECOFIN,Bruno Le Maire,RE,Finance,
France,Competitiveness,Roland Lescure,RE,Industry,
France,Environment,Christophe Bechu,HOR,Ecological Transition,
France,Agriculture,Marc Fesneau,MoDem,Agriculture,
France,TTE,Clement Beaune,RE,Transport,
France,JHA,Gerald Darmanin,RE,Interior,
France,EPSCO,Catherine Vautrin,LR,Labour,
France,EYCS,Nicole Belloubet,Independent,Education,
#
# --- ITALY ---
Italy,GAC,Antonio Tajani,FI,Foreign Affairs,Also FAC - EPP figure
Italy,FAC,Antonio Tajani,FI,Foreign Affairs,
Italy,ECOFIN,Giancarlo Giorgetti,Lega,Economy,Lega moderate
Italy,Competitiveness,Adolfo Urso,FdI,Enterprise,
Italy,Environment,Gilberto Pichetto Fratin,FI,Environment,
Italy,Agriculture,Francesco Lollobrigida,FdI,Agriculture,Meloni brother-in-law
Italy,TTE,Matteo Salvini,Lega,Infrastructure,Lega leader
Italy,JHA,Matteo Piantedosi,Independent,Interior,
Italy,EPSCO,Marina Calderone,Independent,Labour,
Italy,EYCS,Giuseppe Valditara,Independent,Education,
#
# --- SPAIN ---
Spain,GAC,Jose Manuel Albares,PSOE,Foreign Affairs,Also FAC
Spain,FAC,Jose Manuel Albares,PSOE,Foreign Affairs,
Spain,ECOFIN,Carlos Cuerpo,PSOE,Economy,
Spain,Competitiveness,Jordi Hereu,PSOE,Industry,
Spain,Environment,Teresa Ribera,PSOE,Ecological Transition,EC Commissioner nominee
Spain,Agriculture,Luis Planas,PSOE,Agriculture,
Spain,TTE,Oscar Puente,PSOE,Transport,
Spain,JHA,Fernando Grande-Marlaska,PSOE,Interior,
Spain,EPSCO,Yolanda Diaz,Sumar,Labour,Sumar leader - VP
Spain,EYCS,Pilar Alegria,PSOE,Education,
#
# --- POLAND ---
Poland,GAC,Radoslaw Sikorski,KO,Foreign Affairs,Also FAC - former FM 2007-14
Poland,FAC,Radoslaw Sikorski,KO,Foreign Affairs,
Poland,ECOFIN,Andrzej Domanski,KO,Finance,
Poland,Competitiveness,Krzysztof Paszyk,TD,Development,
Poland,Environment,Paulina Hennig-Kloska,TD,Climate,
Poland,Agriculture,Czeslaw Siekierski,TD,Agriculture,
Poland,TTE,Dariusz Klimczak,TD,Infrastructure,
Poland,JHA,Tomasz Siemoniak,KO,Interior,
Poland,EPSCO,Agnieszka Dziemianowicz-Bak,NL,Labour,Lewica
Poland,EYCS,Barbara Nowacka,KO,Education,
#
# --- NETHERLANDS ---
Netherlands,GAC,Caspar Veldkamp,NSC,Foreign Affairs,Also FAC
Netherlands,FAC,Caspar Veldkamp,NSC,Foreign Affairs,
Netherlands,ECOFIN,Eelco Heinen,VVD,Finance,
Netherlands,Competitiveness,Dirk Beljaarts,PVV,Economic Affairs,
Netherlands,Environment,Sophie Hermans,VVD,Climate,
Netherlands,Agriculture,Femke Wiersma,BBB,Agriculture,
Netherlands,TTE,Barry Madlener,PVV,Infrastructure,
Netherlands,JHA,David van Weel,VVD,Justice,
Netherlands,EPSCO,Eddy van Hijum,NSC,Social Affairs,
Netherlands,EYCS,Eppo Bruins,NSC,Education,
#
# --- BELGIUM ---
Belgium,GAC,Hadja Lahbib,MR,Foreign Affairs,Also FAC
Belgium,FAC,Hadja Lahbib,MR,Foreign Affairs,
Belgium,ECOFIN,Vincent Van Peteghem,CD&V,Finance,
Belgium,Competitiveness,Pierre-Yves Dermagne,PS-BE,Economy,
Belgium,Environment,Zakia Khattabi,Ecolo,Climate,
Belgium,Agriculture,David Clarinval,MR,Agriculture,
Belgium,TTE,Georges Gilkinet,Ecolo,Mobility,
Belgium,JHA,Annelies Verlinden,CD&V,Interior,
Belgium,EPSCO,Frank Vandenbroucke,Vooruit,Social Affairs,
Belgium,EYCS,Caroline Desir,PS-BE,Education,Federal system - regional competence
#
# --- ROMANIA ---
Romania,GAC,Luminita Odobescu,PSD,Foreign Affairs,Also FAC
Romania,FAC,Luminita Odobescu,PSD,Foreign Affairs,
Romania,ECOFIN,Marcel Bolos,PNL,Finance,
Romania,Competitiveness,Stefan-Radu Oprea,PSD,Economy,
Romania,Environment,Mircea Fechet,PNL,Environment,
Romania,Agriculture,Florin Barbu,PSD,Agriculture,
Romania,TTE,Sorin Grindeanu,PSD,Transport,
Romania,JHA,Catalin Predoiu,PNL,Internal Affairs,
Romania,EPSCO,Marius Budai,PSD,Labour,
Romania,EYCS,Ligia Deca,Independent,Education,
#
# --- GREECE ---
Greece,GAC,Giorgos Gerapetritis,ND,Foreign Affairs,Also FAC
Greece,FAC,Giorgos Gerapetritis,ND,Foreign Affairs,
Greece,ECOFIN,Kostis Hatzidakis,ND,Finance,
Greece,Competitiveness,Kostas Skrekas,ND,Development,
Greece,Environment,Theodoros Skylakakis,ND,Environment,
Greece,Agriculture,Lefteris Avgenakis,ND,Agriculture,
Greece,TTE,Christos Staikouras,ND,Infrastructure,
Greece,JHA,Michalis Chrysochoidis,ND,Civil Protection,
Greece,EPSCO,Domna Michailidou,ND,Labour,
Greece,EYCS,Kyriakos Pierrakakis,ND,Education,
#
# --- CZECH REPUBLIC ---
Czechia,GAC,Jan Lipavsky,Pirati,Foreign Affairs,Also FAC
Czechia,FAC,Jan Lipavsky,Pirati,Foreign Affairs,
Czechia,ECOFIN,Zbynek Stanjura,ODS,Finance,
Czechia,Competitiveness,Jozef Sikela,STAN,Industry,
Czechia,Environment,Petr Hladik,KDU-CSL,Environment,
Czechia,Agriculture,Marek Vyborny,KDU-CSL,Agriculture,
Czechia,TTE,Martin Kupka,ODS,Transport,
Czechia,JHA,Vit Rakusan,STAN,Interior,
Czechia,EPSCO,Marian Jurecka,KDU-CSL,Labour,
Czechia,EYCS,Mikulás Bek,STAN,EU Affairs,
#
# --- PORTUGAL ---
Portugal,GAC,Paulo Rangel,AD,Foreign Affairs,Also FAC
Portugal,FAC,Paulo Rangel,AD,Foreign Affairs,
Portugal,ECOFIN,Joaquim Miranda Sarmento,AD,Finance,
Portugal,Competitiveness,Pedro Reis,AD,Economy,
Portugal,Environment,Maria da Graca Carvalho,AD,Environment,
Portugal,Agriculture,Jose Manuel Fernandes,AD,Agriculture,
Portugal,TTE,Miguel Pinto Luz,AD,Infrastructure,
