ep_group,delegation_name,country,parties_included,num_meps,delegation_chair,notes
# PRIORITY 5 - Granular EP predictions
# A delegation is typically a national party grouping within an EP group
# Some countries have multiple delegations in the same group (e.g., Belgium)
# Updated February 2026 from national_parties_ep_groups.csv - aligned with EP API
#
# --- EPP (187 seats) ---
EPP,German CDU/CSU Delegation,Germany,"CDU,CSU",31,,Largest EPP delegation - per EP API
EPP,Polish Civic Coalition Delegation,Poland,"KO,TD",23,,Tusk's coalition - per EP API
EPP,Spanish PP Delegation,Spain,PP,22,,
EPP,Romanian EPP Delegation,Romania,"PNL,PMP",10,,Per EP API
EPP,Italian Forza Italia Delegation,Italy,FI,9,,Berlusconi legacy - per EP API
EPP,Hungarian Tisza Delegation,Hungary,Tisza,7,,Peter Magyar - new 2024
EPP,Portuguese AD Delegation,Portugal,AD,7,,PPD/PSD + CDS-PP coalition
EPP,Greek ND Delegation,Greece,ND,7,,Mitsotakis
EPP,Bulgarian EPP Delegation,Bulgaria,"GERB,PP-DB",6,,Borisov + We Continue the Change - per EP API
EPP,Dutch CDA/NSC Delegation,Netherlands,"CDA,NSC",6,,Per EP API
EPP,Croatian HDZ Delegation,Croatia,HDZ,6,,Plenkovic
EPP,Slovenian EPP Delegation,Slovenia,"SDS,NSi",5,,Jansa + Christian Democrats
EPP,Swedish EPP Delegation,Sweden,"M,KD",5,,Moderates + Christian Democrats
EPP,French LR Delegation,France,LR,5,,Per EP API
EPP,Austrian OVP Delegation,Austria,OVP,5,,
EPP,Czech EPP Delegation,Czechia,"STAN,TOP09,KDU-CSL",5,,SPOLU coalition parties - per EP API
EPP,Finnish Kokoomus Delegation,Finland,Kok,4,,National Coalition
EPP,Irish Fine Gael Delegation,Ireland,FG,4,,Government party
EPP,Lithuanian TS-LKD Delegation,Lithuania,TS-LKD,3,,Homeland Union - Kubilius
EPP,Belgian CD&V/LE Delegation,Belgium,"CD&V,LE",3,,Per EP API
EPP,Maltese PN Delegation,Malta,PN,3,,Nationalist Party - includes EP President Metsola
EPP,Cypriot DISY Delegation,Cyprus,DISY,2,,Democratic Rally
EPP,Danish EPP Delegation,Denmark,"KF,LA",2,,Conservatives + Liberal Alliance
EPP,Estonian Isamaa Delegation,Estonia,Isamaa,2,,Fatherland
EPP,Latvian JV Delegation,Latvia,JV,2,,New Unity - Dombrovskis
EPP,Luxembourg CSV Delegation,Luxembourg,CSV,2,,Christian Social People's Party
EPP,Slovak KDH Delegation,Slovakia,KDH,1,,Christian Democrats
#
# --- S&D (136 seats) ---
S&D,Italian PD Delegation,Italy,PD,21,,Largest S&D delegation
S&D,Spanish PSOE Delegation,Spain,PSOE,20,,
S&D,German SPD Delegation,Germany,SPD,14,,
S&D,French PS Delegation,France,PS,13,,
S&D,Romanian PSD Delegation,Romania,PSD,11,,Per EP API
S&D,Portuguese PS Delegation,Portugal,PS,8,,
S&D,Austrian SPO Delegation,Austria,SPO,5,,
S&D,Swedish SAP Delegation,Sweden,S,5,,Social Democrats
S&D,Dutch PvdA Delegation,Netherlands,PvdA,4,,Part of GL-PvdA merged list - per EP API
S&D,Belgian PS/Vooruit Delegation,Belgium,"PS-BE,Vooruit",4,,
