ep_group,section,section_full_name,member_parties,description
# PRIORITY 2 - Needed for Greens/EFA and Renew split predictions
# Only two EP groups have formal internal sections
#
# --- GREENS/EFA (53 seats) ---
Greens/EFA,Greens,European Green Party,"German Gruene, French EELV, Dutch GroenLinks, Belgian Ecolo+Groen, Swedish MP, Austrian Gruene, Finnish Vihreaat, Danish SF, Spanish Sumar, Italian AVS, Luxembourg Greng, Irish Greens, Czech Piráti",Environmental and climate-focused parties
Greens/EFA,EFA,European Free Alliance,"Scottish SNP, Welsh Plaid Cymru, Catalan ERC, Basque EH Bildu, Galician BNG, Flemish N-VA (until 2019), Corsican Femu a Corsica, Latvian LRA, Sardinian PSdAz",Regionalist and pro-independence parties
#
# --- RENEW EUROPE (77 seats) ---
Renew,ALDE,ALDE Party,"French Renaissance, German FDP, Dutch VVD+D66, Belgian MR+OpenVLD, Spanish Ciudadanos, Danish Venstre+RV, Swedish L+C, Finnish Kesk+SFP, Estonian RE+EE200, Irish Fianna Fail, Czech ANO (formerly), Slovak PS, Romanian USR, Croatian HNS, Slovenian LMS, Lithuanian LRLS, Luxembourg DP, Cypriot DIKO",Liberal mainstream - largest component
Renew,EDP,European Democratic Party,"French MoDem, Italian +Europa, Belgian DéFI, Croatian IDS, Cypriot EDEK, Lithuanian LVZS",Christian democrat liberals - smaller component
