country,party_name,party_abbrev,ep_group,section,num_meps,notes
# PRIORITY 1 - Foundation for EP predictions
# EP Groups: EPP, S&D, Renew, Greens/EFA, ECR, PfE, The Left, ESN, NI
# Sections: Only for Greens/EFA (Greens, EFA) and Renew (ALDE, EDP)
# num_meps: Current count from this party (2024-2029 mandate)
#
# --- GERMANY (96 MEPs) ---
Germany,Christlich Demokratische Union Deutschlands,CDU,EPP,,25,Per EP API
Germany,Christlich-Soziale Union in Bayern,CSU,EPP,,6,Bavaria only
Germany,Sozialdemokratische Partei Deutschlands,SPD,S&D,,14,
Germany,Buendnis 90/Die Gruenen,Gruene,Greens/EFA,Greens,11,Per EP API
Germany,Freie Demokratische Partei,FDP,Renew,ALDE,8,Per EP API
Germany,Alternative fuer Deutschland,AfD,ESN,,15,
Germany,Die Linke,Linke,The Left,,3,
Germany,Buendnis Sahra Wagenknecht,BSW,NI,,6,Split from Die Linke 2024
Germany,Freie Waehler,FW,NI,,0,Per EP API (not ECR) - members may have left
Germany,Volt Deutschland,Volt,Greens/EFA,Greens,3,Pan-European party
Germany,Die PARTEI,PARTEI,NI,,2,Satirical party
Germany,Familienpartei Deutschlands,Familie,NI,,1,Per EP API (not ECR)
Germany,Oekologisch-Demokratische Partei,OeDP,Greens/EFA,Greens,1,
Germany,Partei Mensch Umwelt Tierschutz,Tierschutz,The Left,,1,
#
# --- FRANCE (81 MEPs) ---
France,Rassemblement National,RN,PfE,,30,Le Pen
France,Renaissance,RE,Renew,ALDE,13,Macron party
France,La France Insoumise,LFI,The Left,,9,Melenchon
France,Parti Socialiste,PS,S&D,,13,
France,Les Republicains,LR,EPP,,5,Per EP API
France,French ECR MEPs,FR-ECR,ECR,,4,Per EP API - Reconquete defectors or independent
France,Individual NI,Ind-FR,NI,,1,Per EP API
France,Europe Ecologie Les Verts,EELV,Greens/EFA,Greens,5,
France,Reconquete,REC,ESN,,1,Zemmour - per EP API (4 may have left/changed)
France,Mouvement Democrate,MoDem,Renew,EDP,,Part of Ensemble
France,Horizons,HOR,Renew,ALDE,,Philippe party
#
# --- ITALY (76 MEPs) ---
Italy,Fratelli d'Italia,FdI,ECR,,24,Meloni
Italy,Partito Democratico,PD,S&D,,21,
Italy,Lega,Lega,PfE,,8,Salvini
Italy,Movimento 5 Stelle,M5S,The Left,,10,Per EP API
Italy,Forza Italia,FI,EPP,,9,Berlusconi legacy - per EP API
Italy,Alleanza Verdi e Sinistra,AVS,Greens/EFA,Greens,4,Per EP API
Italy,Azione - Italia Viva,A-IV,Renew,ALDE,0,Per EP API - may have left Renew
#
# --- SPAIN (61 MEPs) ---
Spain,Partido Popular,PP,EPP,,22,
Spain,Partido Socialista Obrero Espanol,PSOE,S&D,,20,
Spain,Vox,VOX,PfE,,6,
Spain,Sumar,Sumar,Greens/EFA,Greens,1,Per EP API - some members in The Left
Spain,Ahora Republicas,AR,Greens/EFA,EFA,3,ERC+EH Bildu+BNG coalition
Spain,Esquerra Republicana de Catalunya,ERC,Greens/EFA,EFA,,Part of AR - Catalan independence
Spain,Euskal Herria Bildu,EHB,Greens/EFA,EFA,,Part of AR - Basque independence
Spain,Bloque Nacionalista Galego,BNG,Greens/EFA,EFA,,Part of AR - Galician
Spain,Junts per Catalunya,Junts,NI,,1,Seat vacant - MEP cannot take seat (harassment conviction)
Spain,Se Acabo la Fiesta,SALF,ECR,,2,Per EP API - was thought to be ESN
Spain,Ciudadanos,Cs,Renew,ALDE,1,Per EP API - 1 remaining MEP
Spain,Podemos,Pod,The Left,,2,Per EP API
Spain,Izquierda Unida,IU,The Left,,2,Per EP API - part of Sumar coalition
#
# --- POLAND (53 MEPs) ---
Poland,Prawo i Sprawiedliwosc,PiS,ECR,,20,Kaczynski
Poland,Koalicja Obywatelska,KO,EPP,,19,Tusk coalition - per EP API
Poland,Konfederacja,Konf,ESN,,3,Per EP API (some may be in PfE/NI)
