celex,title,doc_type,date,oj_reference,has_legal_basis,legal_basis_count,legal_basis_sample,has_citations,citations_count,citations_sample,has_subject_matter,subject_matter_count,subject_matter_sample,uuid,xml_path,likely_reason_unclassified
32023D1464,"Commission Decision of 8 December 2023 approving, on behalf of the European Union, the amendments to Annex 14-B of the Agreement between the European Union and Japan for an Economic Partnership",Commission Decision of,,,No,0,,No,0,,Yes,7,"Partnership, Agreement, Decision, December, Japan",007eb3ae-9890-11ee-b164-01aa75ed71a1,docs/LEG_2025-11/007eb3ae-9890-11ee-b164-01aa75ed71a1/fmx4/C_202301464EN.doc.fmx.xml,No legal basis; No citations
32024R0442,"Commission Implementing Decision (EU) 2024/442 of 24 January 2024 on the request for registration, pursuant to Regulation (EU) 2019/788 of the European Parliament and of the Council, of the European c",Commission Implementing Decision,,,No,0,,No,0,,Yes,6,"Implementing, Decision, January, Regulation, EU",0086cbcf-c3cd-11ee-95d9-01aa75ed71a1,docs/LEG_2025-11/0086cbcf-c3cd-11ee-95d9-01aa75ed71a1/fmx4/L_202400442EN.doc.fmx.xml,No legal basis; No citations; Derivative legislation
32024R1877,Commission Implementing Regulation (EU) 2024/1877 of 1 July 2024 entering a name in the register of protected designations of origin and protected geographical indications (Cochinillo de Segovia (PGI),Commission Implementing Regulation,,,No,0,,Yes,1,2024/1877,Yes,7,"Cochinillo, Implementing, PGI, Segovia, Regulation",016af2d0-3cc3-11ef-ab8f-01aa75ed71a1,docs/LEG_2025-11/016af2d0-3cc3-11ef-ab8f-01aa75ed71a1/fmx4/L_202401877EN.doc.fmx.xml,No legal basis; Derivative legislation
32024D1777,Council Decision (EU) 2024/1777 of 20 June 2024 amending Decision (EU) 2023/133 as regards the replacement of a member of the selection panel,Council Decision,,,No,0,,Yes,1,2024/1777,Yes,3,"EU, Decision, June",01e6395c-31c8-11ef-a61b-01aa75ed71a1,docs/LEG_2025-11/01e6395c-31c8-11ef-a61b-01aa75ed71a1/fmx4/L_202401777EN.doc.fmx.xml,No legal basis
32024D2876,Council Decision (CFSP) 2024/2876 of 8 November 2024 amending Decision (CFSP) 2022/1968 on a European Union Military Assistance Mission in support of Ukraine (EUMAM Ukraine),Council Decision (CFSP),,,No,0,,No,0,,Yes,8,"Assistance, EUMAM, Military, Ukraine, Decision",0219f9af-9fd2-11ef-85f0-01aa75ed71a1,docs/LEG_2025-11/0219f9af-9fd2-11ef-85f0-01aa75ed71a1/fmx4/L_202402876EN.doc.fmx.xml,No legal basis; No citations
,Guideline (EU) 2024/2616 of the European Central Bank of 30 July 2024 amending Guideline (EU) 2022/912 on a new-generation Trans-European Automated Real-time Gross Settlement Express Transfer system (,Guideline,,,No,0,,No,0,,Yes,10,"Transfer, TARGET, Trans, Automated, Settlement",03122b3b-81e9-11ef-a67d-01aa75ed71a1,docs/LEG_2025-11/03122b3b-81e9-11ef-a67d-01aa75ed71a1/fmx4/L_202402616EN.doc.fmx.xml,No CELEX; No legal basis; No citations
32024R0445,Commission Implementing Regulation (EU) 2024/445 of 29 January 2024 entering a name in the register of protected designations of origin and protected geographical indications (Aydın Memecik Zeytinyağı,Commission Implementing Regulation,,,No,0,,No,0,,Yes,6,"Memecik, Implementing, January, PDO, Regulation",036dbf20-c3cd-11ee-95d9-01aa75ed71a1,docs/LEG_2025-11/036dbf20-c3cd-11ee-95d9-01aa75ed71a1/fmx4/L_202400445EN.doc.fmx.xml,No legal basis; No citations; Derivative legislation
32025D1921,Commission Implementing Decision (EU) 2025/1921 of 19 September 2025 amending Implementing Decision (EU) 2024/3238 concerning certain emergency measures relating to infection with peste des petits rum,Commission Implementing Decision,,,No,0,,Yes,2,"2024/3238, 2025/1921",Yes,7,"Bulgaria, EU, Implementing, Decision, EEA",038c1797-99ad-11f0-97c8-01aa75ed71a1,docs/LEG_2025-11/038c1797-99ad-11f0-97c8-01aa75ed71a1/fmx4/L_202501921EN.doc.fmx.xml,No legal basis; Derivative legislation
32025R1988,Commission Regulation (EU) 2025/1988 of 2 October 2025 amending Annex XVII to Regulation (EC) No 1907/2006 of the European Parliament and of the Council as regards per- and polyfluoroalkyl substances ,Commission Regulation,,,No,0,,Yes,2,"1907/2006, 2025/1988",Yes,8,"EC, XVII, October, EEA, Annex",03dfcb72-9ff4-11f0-97c8-01aa75ed71a1,docs/LEG_2025-11/03dfcb72-9ff4-11f0-97c8-01aa75ed71a1/fmx4/L_202501988EN.doc.fmx.xml,No legal basis
32025R1085,"Commission Implementing Regulation (EU) 2025/1085 of 22 May 2025 amending Annexes V and XIV to Implementing Regulation (EU) 2021/404 as regards the entries for Canada, the United Kingdom and the Unite",Commission Implementing Regulation,,,No,0,,Yes,1,2025/1085,Yes,10,"Canada, Kingdom, EU, Implementing, May",05cf2b31-39cc-11f0-8a44-01aa75ed71a1,docs/LEG_2025-11/05cf2b31-39cc-11f0-8a44-01aa75ed71a1/fmx4/L_202501085EN.doc.fmx.xml,No legal basis; Derivative legislation
32025D2124,"Council Decision (EU) 2025/2124 of 10 October 2025 on the signing, on behalf of the Union, of the Amending Protocol to the Agreement between the European Union and the Principality of Liechtenstein on",Council Decision,,,No,0,,Yes,1,2025/2124,Yes,8,"Protocol, Liechtenstein, October, Agreement, Amending",064f6810-aaf2-11f0-89c6-01aa75ed71a1,docs/LEG_2025-11/064f6810-aaf2-11f0-89c6-01aa75ed71a1/fmx4/L_202502124EN.doc.fmx.xml,No legal basis
32025R1968,Commission Implementing Decision (EU) 2025/1968 of 28 April 2025 laying down rules for the application of Directive (EU) 2016/797 of the European Parliament and of the Council as regards a request fro,Commission Implementing Decision,,,No,0,,Yes,2,"1303/2014, 2025/1968",Yes,9,"Italy, GSM, Implementing, Decision, Directive",065f27d6-9cd2-11f0-97c8-01aa75ed71a1,docs/LEG_2025-11/065f27d6-9cd2-11f0-97c8-01aa75ed71a1/fmx4/L_202501968EN.doc.fmx.xml,No legal basis; Derivative legislation; Procedural/Generic wording
32025D0464,Commission Implementing Decision (EU) 2025/464 of 5 March 2025 amending Implementing Decision (EU) 2024/2207 concerning certain emergency measures relating to sheep pox and goat pox in Greece (notifie,Commission Implementing Decision,,,No,0,,Yes,1,2024/2207,Yes,7,"Greece, EU, Implementing, March, Decision",0713aac5-faf7-11ef-b7db-01aa75ed71a1,docs/LEG_2025-11/0713aac5-faf7-11ef-b7db-01aa75ed71a1/fmx4/L_202500464EN.doc.fmx.xml,No legal basis; Derivative legislation
32023D2853,"Council Decision (EU) 2023/2853 of 12 December 2023 on the signing, on behalf of the Union, of the Economic Partnership Agreement between the European Union, of the one part, and the Republic of Kenya",Council Decision,,,No,0,,Yes,1,2023/2853,Yes,10,"Republic, Partnership, East, Member, Community",07343069-9e10-11ee-b164-01aa75ed71a1,docs/LEG_2025-11/07343069-9e10-11ee-b164-01aa75ed71a1/fmx4/L_202302853EN.doc.fmx.xml,No legal basis
32024R1863,Commission Implementing Regulation (EU) 2024/1863 of 28 June 2024 approving an amendment to the specification for the protected geographical indication Lisboa,Commission Implementing Regulation,,,No,0,,Yes,1,2024/1863,Yes,5,"Lisboa, Implementing, June, Regulation, EU",076de61f-3a67-11ef-a1cb-01aa75ed71a1,docs/LEG_2025-11/076de61f-3a67-11ef-a1cb-01aa75ed71a1/fmx4/L_202401863EN.doc.fmx.xml,No legal basis; Derivative legislation
32025R1905,Commission Implementing Regulation (EU) 2025/1905 of 11 September 2025 granting a Union authorisation for the biocidal product family desmanol pure in accordance with Regulation (EU) No 528/2012 of th,Commission Implementing Regulation,,,No,0,,Yes,2,"2025/1905, 528/2012",Yes,6,"Implementing, EEA, Regulation, EU, No",07970714-9ff4-11f0-97c8-01aa75ed71a1,docs/LEG_2025-11/07970714-9ff4-11f0-97c8-01aa75ed71a1/fmx4/L_202501905EN.doc.fmx.xml,No legal basis; Derivative legislation
32025R0444,Commission Implementing Decision (EU) 2025/444 of 5 March 2025 postponing the expiry date of the approval of benzoic acid for use in biocidal products of product-types 3 and 4 in accordance with Regul,Commission Implementing Decision,,,No,0,,Yes,1,528/2012,Yes,7,"Implementing, March, Decision, EEA, Regulation",0799a3a6-faf7-11ef-b7db-01aa75ed71a1,docs/LEG_2025-11/0799a3a6-faf7-11ef-b7db-01aa75ed71a1/fmx4/L_202500444EN.doc.fmx.xml,No legal basis; Derivative legislation
32025R0021,Commission Delegated Regulation (EU) 2025/21 of 19 December 2024 amending Regulation (EU) No 139/2014 as regards requirements for aerodrome operators related to ground handling activitiesText with EEA,Commission Delegated Regulation,,,No,0,,Yes,1,139/2014,Yes,6,"December, EEA, Delegated, Regulation, EU",07dd1547-faf7-11ef-b7db-01aa75ed71a1,docs/LEG_2025-11/07dd1547-faf7-11ef-b7db-01aa75ed71a1/fmx4/L_202500021EN.doc.fmx.xml,No legal basis
32024R2126,"Commission Implementing Decision (EU) 2024/2126 of 24 July 2024 on the request for registration, pursuant to Regulation (EU) 2019/788 of the European Parliament and of the Council, of the European cit",Commission Implementing Decision,,,No,0,,Yes,1,2024/2126,Yes,8,"Cruelty, Regulation, Decision, July, Slaughter",117ffa81-506a-11ef-acbc-01aa75ed71a1,docs/LEG_2025-11/117ffa81-506a-11ef-acbc-01aa75ed71a1/fmx4/L_202402126EN.doc.fmx.xml,No legal basis; Derivative legislation
32024R1780,Commission Delegated Regulation (EU) 2024/1780 of 13 March 2024 supplementing Regulation (EU) No 575/2013 of the European Parliament and of the Council with regard to regulatory technical standards sp,Commission Delegated Regulation,,,No,0,,Yes,2,"2024/1780, 575/2013",Yes,7,"March, Regulation, EEA, Delegated, EU",11d6c559-328d-11ef-a61b-01aa75ed71a1,docs/LEG_2025-11/11d6c559-328d-11ef-a61b-01aa75ed71a1/fmx4/L_202401780EN.doc.fmx.xml,No legal basis
32025R0349,Commission Implementing Decision (EU) 2025/349 of 21 February 2025 postponing the expiry date of the approval of spinosad for use in biocidal products of product-type 18 in accordance with Regulation ,Commission Implementing Decision,,,No,0,,Yes,1,528/2012,Yes,7,"Regulation, EEA, Decision, February, EU",098dbb5a-f255-11ef-981b-01aa75ed71a1,docs/LEG_2025-11/098dbb5a-f255-11ef-981b-01aa75ed71a1/fmx4/L_202500349EN.doc.fmx.xml,No legal basis; Derivative legislation
32024L1346,Directive (EU) 2024/1346 of the European Parliament and of the Council of 14 May 2024 laying down standards for the reception of applicants for international protection,Directive,,,No,0,,Yes,1,2024/1346,Yes,3,"Directive, May, EU",09f9074b-17d6-11ef-a251-01aa75ed71a1,docs/LEG_2025-11/09f9074b-17d6-11ef-a251-01aa75ed71a1/fmx4/L_202401346EN.doc.fmx.xml,No legal basis; Procedural/Generic wording
